id,name,url,type,primary_use,address,neighbourhood,ownership,area,capacity,active_space,longitude,latitiude
191,Little Mountain Gallery,www.littlemountaingallery.com,Museum/Gallery,Museum/Gallery,"195 E 26th Av, Vancouver, BC, V5V 2G8",Riley Park,Privately Owned,,,Yes,-123.1014023,49.2480158
192,Lobby Gallery,http://www.ligi.ubc.ca/LobbyGallery.htm,Museum/Gallery,Museum/Gallery,"6476 NW Marine Dr, Vancouver, BC, ",,Other,200,,Yes,-123.259146,49.267681
193,Lumbermen's Arch,,Community Space,Plaza/Park/Band Shell," , Vancouver, BC, ",,City of Vancouver,66120,,Yes,-123.131707,49.302981
194,Maclean Field House,http://vancouver.ca/parks-recreation-culture/urban-weavers-artists-and-scientist.aspx,Studio/Rehearsal ,Artist Studio,"710 Keefer St, Vancouver, BC, V6A 1Y5",Strathcona,Park Board/COV,500,,Yes,-123.0884454,49.2788158
195,MakerLabs,www.makerlabs.ca,Studio/Rehearsal ,Workshop,"221 E 10th Av, Vancouver, BC, ",Mount Pleasant,Privately Owned,9500,,Yes,-123.0997391,49.2623075
196,Malaspina Printmakers Gallery,www.malaspinaprintmakers.com?,Museum/Gallery,Museum/Gallery,"1555 Duranleau St, Vancouver, BC, V6H 3S3",Fairview,Government,2500,,Yes,-123.135784,49.271369
197,"Malkin Bowl, The",www.malkinbowl.com,Theatre/Performance,Theatre,"610 Pipeline Rd, Vancouver, BC, V6G 3E2",,City of Vancouver,13105,2200,Yes,-123.133438,49.298848
198,Marion Scott Gallery,www.marionscottgallery.com,Museum/Gallery,Museum/Gallery,"2423 Granville St, Vancouver, BC, V6H 3G5",Fairview,Privately Owned,,,Yes,-123.1386272,49.264079
199,Marpole-Oakridge Community Centre,http://www.marpoleoakridge.org/,Community Space,Community Centre/Hall,"990 W 59th Av, Vancouver, BC, V6P 1X9 ",Marpole,Park Board/COV,,,Yes,-123.1274819,49.2144741
200,Mascall Dance,www.mascalldance.ca?,Studio/Rehearsal ,Rehearsal Studio,"1130 Jervis St, Vancouver, BC, V6E 2C7",West End,Privately Owned,2500,,Yes,-123.134145,49.283306
201,McBride field House,http://locomotoart.weebly.com/mcbride ,Studio/Rehearsal ,Artist Studio,"3350 W 4th Av, Vancouver, BC, ",Kitsilano,Park Board/COV,,,Yes,-123.1786705,49.2680825
202,"Media Club, The",www.themediaclub.ca?,Cafﾂ/Restaurant/Bar,Bar/Lounge/Cabaret,"695 Cambie St, Vancouver, BC, V6B 2P1",Downtown,City of Vancouver,,,Yes,-123.1131599,49.2794398
203,Memorial South Park Field House,http://vancouver.ca/parks-recreation-culture/memorial-south-park-fieldhouse.aspx,Studio/Rehearsal ,Artist Studio,"5955 Ross St, Vancouver, BC, V5W 1T7",Sunset,Park Board/COV,,,Yes,-123.082685,49.2303947
204,"Mergatroid Building, The",http://www.mergatroid.ca/,Studio/Rehearsal ,Artist Studio,"975 Vernon Drive, Vancouver, BC, V6A 3P2",Strathcona,Privately Owned,33500,,Yes,-123.07867,49.276097
205,Metro Theatre,www.metrotheatre.org?,Theatre/Performance,Theatre,"1370 Sw Marine Dr, Vancouver, BC, V6P 5Z9",Marpole,Privately Owned,,308,Yes,-123.1375815,49.20363
206,Metro Theatre Workshop and Rehearsal Hall,,Studio/Rehearsal ,Rehearsal Studio,"8960 Oak St, Vancouver, BC, V6P 4B7",Marpole,Privately Owned,,,Yes,-123.1300261,49.203966
207,Michelle Sirois-Silver Textile Art Studio,michellesirois-silver.com,Studio/Rehearsal ,Artist Studio,"1610 Clark Dr, Vancouver, BC, ",Grandview-Woodland,Privately Owned,200,,Yes,-123.077008,49.270306
208,Moberly Arts and Culture Centre,www.mysunset.net,Community Space,Community Centre/Hall,"7646 Prince Albert St, Vancouver, BC, V5X 3Z4",Sunset,Park Board/COV,2264,,Yes,-123.087343,49.215192
209,Moberly Park Field House,http://vancouver.ca/parks-recreation-culture/moberly-park-fieldhouse.aspx,Studio/Rehearsal ,Artist Studio,"7646 Prince Albert, Vancouver, BC, V5X 3Z4",Sunset,Park Board/COV,,,Yes,-123.087095,49.215253
210,Monte Clark Gallery,www.monteclarkgallery.com,Museum/Gallery,Museum/Gallery,"525 Great Northern Way, Vancouver, BC, V5T 1E1",Strathcona,Privately Owned,4000,,Yes,-123.0921743,49.26761
211,Morris and Helen Belkin Art Gallery,http://www.belkin.ubc.ca/,Museum/Gallery,Museum/Gallery,"1825 Main Mall, Vancouver, BC, V6T 1Z2",,Other,,,Yes,-123.255944,49.2683878
212,Mount Pleasant Community Centre,http://www.mountpleasantcc.ca/,Community Space,Community Centre/Hall,"1 Kingsway, Vancouver, BC, V5T 3H7",Mount Pleasant,Park Board/COV,,,Yes,-123.1000824,49.2641411
213,Museum of Vancouver,www.museumofvancouver.ca?,Museum/Gallery,Museum/Gallery,"1100 Chestnut St, Vancouver, BC, V6J 3J9",Kitsilano,City of Vancouver,75000,,Yes,-123.144897,49.276365
214,Musqueam Cultural Education Resource Centre,http://www.musqueam.bc.ca/,Community Space,Community Centre/Hall,"4000 Musqueam Av, Vancouver, BC, V6N 4C6",Dunbar-Southlands,Other,1300,,Yes,-123.1989191,49.2236866
215,New Leaf Editions,www.newleafeditions.com?,Studio/Rehearsal ,Workshop,"1370 Cartwright St, Vancouver, BC, V6H 3R7",Fairview,Privately Owned,,,Yes,-123.134665,49.269841
216,Norman Rothstein Theatre,www.normanrothsteintheatre.com?,Theatre/Performance,Theatre,"950 W 41st Av, Vancouver, BC, V5Z 2N7",Oakridge,Privately Owned,5300,318,Yes,-123.126011,49.233433
